    time           T_x           T_y           T_z      
 4.6860426032  0.0203654128  0.0052881839 -0.0008264811 
 4.7102542004  0.0203832391  0.0055041357 -0.0008265288 
 4.7344636884  0.0203984517  0.0057207508 -0.0008265769 
 4.7586711059  0.0204111830  0.0059379416 -0.0008266253 
 4.7828764544  0.0204212813  0.0061557337 -0.0008266740 
 4.8070797168  0.0204288821  0.0063740416 -0.0008267231 
 4.8312809128  0.0204338355  0.0065928867 -0.0008267724 
 4.8554801043  0.0204362771  0.0068121883 -0.0008268222 
 4.8796772353  0.0204360547  0.0070319641 -0.0008268722 
 4.9038723242  0.0204333080  0.0072521354 -0.0008269226 
 4.9280654070  0.0204278866  0.0074727165 -0.0008269734 
 4.9522564998  0.0204199268  0.0076936339 -0.0008270245 
 4.9764455798  0.0204092810  0.0079148968 -0.0008270759 
 5.0006326659  0.0203960869  0.0081364349 -0.0008271277 
 5.0248178223  0.0203801983  0.0083582543 -0.0008271798 
 5.0490010030  0.0203617494  0.0085802889 -0.0008272323 
 5.0731822129  0.0203405986  0.0088025396 -0.0008272851 
 5.0973614943  0.0203168817  0.0090249444 -0.0008273382 
 5.1215388806  0.0202904546  0.0092475014 -0.0008273917 
 5.1457143385  0.0202614536  0.0094701516 -0.0008274456 
 5.1698878840  0.0202297384  0.0096928889 -0.0008274998 
 5.1940595753  0.0201954457  0.0099156582 -0.0008275544 
 5.2182293875  0.0201584323  0.0101384505 -0.0008276093 
 5.2423973200  0.0201188383  0.0103612132 -0.0008276645 
 5.2665634107  0.0200765228  0.0105839341 -0.0008277202 
 5.2907277148  0.0200316241  0.0108065647 -0.0008277761 
 5.3148901815  0.0199840003  0.0110290889 -0.0008278325 
 5.3390508307  0.0199337945  0.0112514609 -0.0008278892 
 5.3632097028  0.0198808650  0.0114736621 -0.0008279462 
 5.3873668151  0.0198253529  0.0116956503 -0.0008280036 
 5.4115221497  0.0197671175  0.0119174028 -0.0008280614 
 5.4356757371  0.0197063041  0.0121388810 -0.0008281196 
 5.4598276302  0.0196427698  0.0123600595 -0.0008281781 
 5.4839778074  0.0195766602  0.0125809028 -0.0008282369 
 5.5081262606  0.0195078331  0.0128013814 -0.0008282962 
 5.5322730356  0.0194364395  0.0130214639 -0.0008283558 
 5.5564181780  0.0193623314  0.0132411181 -0.0008284158 
 5.5805616507  0.0192856633  0.0134603152 -0.0008284761 
 5.6047034777  0.0192062874  0.0136790194 -0.0008285369 
 5.6288437060  0.0191243629  0.0138972066 -0.0008285980 
 5.6529823520  0.0190397346  0.0141148370 -0.0008286595 
 5.6771193911  0.0189525693  0.0143318900 -0.0008287213 
 5.7012548576  0.0188627088  0.0145483219 -0.0008287835 
 5.7253887980  0.0187703256  0.0147641172 -0.0008288462 
 5.7495212080  0.0186752530  0.0149792274 -0.0008289092 
 5.7736520762  0.0185776736  0.0151936415 -0.0008289725 
 5.7977814552  0.0184774155  0.0154073068 -0.0008290363 
 5.8219093853  0.0183746673  0.0156202177 -0.0008291005 
 5.8460358422  0.0182692482  0.0158323155 -0.0008291650 
 5.8701608338  0.0181613595  0.0160436007 -0.0008292299 
 5.8942844125  0.0180508122  0.0162540093 -0.0008292953 
 5.9184066045  0.0179378146  0.0164635481 -0.0008293610 
 5.9425273865  0.0178221690  0.0166721460 -0.0008294271 
 5.9666467938  0.0177040974  0.0168798175 -0.0008294936 
 5.9907648703  0.0175833909  0.0170864847 -0.0008295605 
 6.0148816265  0.0174602808  0.0172921695 -0.0008296278 
 6.0389970394  0.0173345497  0.0174967858 -0.0008296955 
 6.0631111578  0.0172064424  0.0177003647 -0.0008297636 
 6.0872240161  0.0170757287  0.0179028119 -0.0008298321 
 6.1113356288  0.0169426644  0.0181041671 -0.0008299010 
 6.1354459734  0.0168070100  0.0183043266 -0.0008299704 
 6.1595551131  0.0166690353  0.0185033410 -0.0008300401 
 6.1836630758  0.0165284871  0.0187010968 -0.0008301102 
 6.2077698556  0.0163856467  0.0188976540 -0.0008301808 
 6.2318754537  0.0162402528  0.0190928893 -0.0008302517 
 6.2559799291  0.0160925989  0.0192868748 -0.0008303231 
 6.2800832987  0.0159424100  0.0194794752 -0.0008303949 
