x,p1_l4,p2_l2,p3_l1,p3_l2,p4_l1,p4_l2,p5_l1,DNS
25.7279,12.7965,13.4819,13.5145,15.5426,15.24,16.1936,15.7995,16.202
25.8173,12.8375,13.5062,13.543,15.5564,15.2712,16.2354,15.8605,16.251
25.895,12.8681,13.5263,13.5642,15.5648,15.2905,16.2645,15.8986,16.2921
26.0457,12.9009,13.5544,13.5936,15.5748,15.318,16.3051,15.956,16.3692
26.0471,12.9011,13.5545,13.5938,15.5749,15.3183,16.3054,15.9565,16.3699
26.1333,12.9022,13.5526,13.6026,15.5788,15.3308,16.3233,15.9842,16.4127
26.1345,12.9021,13.5526,13.6027,15.5789,15.3309,16.3236,15.9846,16.4133
26.1359,12.902,13.5525,13.6028,15.579,15.3311,16.3238,15.985,16.414
26.186,12.8975,13.5539,13.6051,15.5815,15.337,16.3334,16.0002,16.4386
26.2085,12.8946,13.555,13.6055,15.5829,15.3392,16.3377,16.0069,16.4496
26.225,12.8921,13.5559,13.6055,15.5839,15.3406,16.3407,16.0117,16.4577
26.4083,12.8528,13.5591,13.5943,15.6025,15.3448,16.3744,16.0603,16.5444
26.4206,12.8496,13.5585,13.5929,15.6044,15.3443,16.3768,16.0629,16.55
26.5035,12.8272,13.551,13.5813,15.6208,15.3384,16.3934,16.0795,16.5858
26.5434,12.816,13.5452,13.5746,15.6311,15.3342,16.4021,16.0872,16.602
26.6276,12.792,13.5289,13.5581,15.6579,15.323,16.4234,16.103,16.6336
26.7077,12.7694,13.5094,13.5394,15.686,15.3094,16.4497,16.1179,16.6599
26.8102,12.7423,13.4803,13.5114,15.7169,15.2885,16.4929,16.1367,16.6873
26.8559,12.7314,13.4663,13.4974,15.725,15.2778,16.5124,16.145,16.6969
26.8822,12.7257,13.458,13.489,15.727,15.2713,16.5223,16.1498,16.7017
26.92,12.7182,13.4458,13.4764,15.7268,15.2616,16.534,16.1566,16.7075
26.9529,12.7127,13.4349,13.465,15.7241,15.2527,16.5416,16.1625,16.7115
26.9618,12.7114,13.4319,13.4619,15.7231,15.2503,16.5432,16.1641,16.7124
27.1012,12.6997,13.3834,13.409,15.7053,15.2129,16.5532,16.189,16.7177
27.1275,12.6994,13.3739,13.3984,15.7041,15.2064,16.5526,16.1937,16.717
27.1502,12.6996,13.3656,13.389,15.7041,15.2011,16.5516,16.1977,16.7161
27.3641,12.713,13.2811,13.3032,15.727,15.1671,16.5176,16.2341,16.6941
27.372,12.7135,13.2777,13.3004,15.7281,15.1665,16.5153,16.2354,16.6929
27.3744,12.7137,13.2766,13.2995,15.7284,15.1663,16.5146,16.2357,16.6926
