    time           T_x           T_y           T_z      
 5.7510595855  0.0186791491  0.0149913394 -0.0008287827 
 5.7671978501  0.0186140859  0.0151348481 -0.0008288248 
 5.7833352485  0.0185478643  0.0152780297 -0.0008288669 
 5.7994717796  0.0184804863  0.0154208748 -0.0008289093 
 5.8156074310  0.0184119541  0.0155633742 -0.0008289518 
 5.8317422118  0.0183422696  0.0157055187 -0.0008289946 
 5.8478761299  0.0182714354  0.0158472994 -0.0008290374 
 5.8640092058  0.0181994535  0.0159887072 -0.0008290805 
 5.8801414423  0.0181263264  0.0161297330 -0.0008291237 
 5.8962728577  0.0180520565  0.0162703680 -0.0008291671 
 5.9124034373  0.0179766464  0.0164106029 -0.0008292107 
 5.9285331717  0.0179000988  0.0165504285 -0.0008292544 
 5.9446620856  0.0178224159  0.0166898360 -0.0008292983 
 5.9607902088  0.0177436007  0.0168288168 -0.0008293424 
 5.9769175401  0.0176636560  0.0169673617 -0.0008293867 
 5.9930440666  0.0175825845  0.0171054617 -0.0008294311 
 6.0091698019  0.0175003891  0.0172431079 -0.0008294758 
 6.0252947522  0.0174170730  0.0173802914 -0.0008295206 
 6.0414189362  0.0173326389  0.0175170035 -0.0008295655 
 6.0575423574  0.0172470902  0.0176532354 -0.0008296107 
 6.0736650376  0.0171604296  0.0177889783 -0.0008296560 
 6.0897869587  0.0170726609  0.0179242233 -0.0008297015 
 6.1059081165  0.0169837871  0.0180589614 -0.0008297472 
 6.1220285345  0.0168938115  0.0181931840 -0.0008297931 
 6.1381482433  0.0168027375  0.0183268828 -0.0008298392 
 6.1542672371  0.0167105688  0.0184600488 -0.0008298854 
 6.1703855095  0.0166173088  0.0185926733 -0.0008299318 
 6.1865030772  0.0165229610  0.0187247477 -0.0008299784 
 6.2026199387  0.0164275293  0.0188562634 -0.0008300252 
 6.2187361142  0.0163310172  0.0189872117 -0.0008300721 
 6.2348516096  0.0162334286  0.0191175843 -0.0008301193 
 6.2509664515  0.0161347671  0.0192473726 -0.0008301666 
 6.2670806125  0.0160350373  0.0193765681 -0.0008302141 
 6.2831940983  0.0159342425  0.0195051619 -0.0008302618 
 6.2993069278  0.0158323871  0.0196331459 -0.0008303097 
 6.3154191306  0.0157294750  0.0197605119 -0.0008303578 
 6.3315307000  0.0156255105  0.0198872513 -0.0008304060 
 6.3476416364  0.0155204978  0.0200133557 -0.0008304545 
 6.3637519536  0.0154144410  0.0201388167 -0.0008305031 
 6.3798616468  0.0153073449  0.0202636262 -0.0008305519 
 6.3959707381  0.0151992134  0.0203877757 -0.0008306010 
 6.4120792368  0.0150900513  0.0205112571 -0.0008306502 
 6.4281871596  0.0149798629  0.0206340624 -0.0008306995 
 6.4442944951  0.0148686530  0.0207561831 -0.0008307491 
 6.4604012483  0.0147564261  0.0208776111 -0.0008307989 
 6.4765074316  0.0146431870  0.0209983383 -0.0008308489 
 6.4926130661  0.0145289403  0.0211183568 -0.0008308990 
 6.5087181592  0.0144136910  0.0212376584 -0.0008309494 
 6.5248227159  0.0142974439  0.0213562352 -0.0008309999 
 6.5409267313  0.0141802041  0.0214740791 -0.0008310507 
 6.5570302196  0.0140619763  0.0215911821 -0.0008311016 
 6.5731331937  0.0139427659  0.0217075365 -0.0008311527 
 6.5892356677  0.0138225776  0.0218231343 -0.0008312040 
 6.6053376439  0.0137014170  0.0219379678 -0.0008312556 
 6.6214391335  0.0135792890  0.0220520290 -0.0008313073 
 6.6375401384  0.0134561990  0.0221653103 -0.0008313592 
 6.6536406552  0.0133321526  0.0222778037 -0.0008314113 
 6.6697407084  0.0132071548  0.0223895017 -0.0008314636 
 6.6858403160  0.0130812112  0.0225003968 -0.0008315162 
 6.7019394876  0.0129543273  0.0226104813 -0.0008315689 
 6.7180381959  0.0128265090  0.0227197474 -0.0008316218 
 6.7341364762  0.0126977613  0.0228281876 -0.0008316749 
 6.7502343312  0.0125680905  0.0229357946 -0.0008317282 
 6.7663317781  0.0124375018  0.0230425608 -0.0008317818 
 6.7824288099  0.0123060014  0.0231484788 -0.0008318355 
 6.7985254605  0.0121735948  0.0232535413 -0.0008318894 
 6.8146217104  0.0120402883  0.0233577409 -0.0008319436 
 6.8307175678  0.0119060876  0.0234610700 -0.0008319979 
 6.8468130529  0.0117709988  0.0235635216 -0.0008320525 
 6.8629081917  0.0116350277  0.0236650887 -0.0008321072 
 6.8790029753  0.0114981807  0.0237657639 -0.0008321622 
 6.8950974022  0.0113604640  0.0238655399 -0.0008322174 
 6.9111914904  0.0112218835  0.0239644097 -0.0008322728 
 6.9272852472  0.0110824459  0.0240623663 -0.0008323284 
 6.9433786878  0.0109421572  0.0241594027 -0.0008323842 
 6.9594718141  0.0108010239  0.0242555119 -0.0008324402 
 6.9755646447  0.0106590523  0.0243506869 -0.0008324965 
 6.9916571779  0.0105162491  0.0244449209 -0.0008325529 
 7.0077494245  0.0103726207  0.0245382070 -0.0008326096 
 7.0238413852  0.0102281738  0.0246305384 -0.0008326665 
 7.0399330832  0.0100829148  0.0247219084 -0.0008327236 
 7.0560245294  0.0099368505  0.0248123103 -0.0008327809 
 7.0721157294  0.0097899877  0.0249017373 -0.0008328384 
 7.0882066680  0.0096423333  0.0249901830 -0.0008328962 
